,id,object_name,chain,object_type,address,number,coordinates,street
14820,212915,кофейня малевичъ,нет,предприятие быстрого обслуживания,"город Москва, поселение Внуковское, улица Лётчика Ульянина, дом 5",0,no coordinates,no street
14821,212078,сушиstore,нет,предприятие быстрого обслуживания,"город Москва, поселение Внуковское, улица Лётчика Ульянина, дом 5",0,no coordinates,no street
14822,212109,food place,нет,кафе,"город Москва, поселение Внуковское, улица Лётчика Ульянина, дом 5",32,no coordinates,no street
14823,212133,дворик детства мирабель,нет,кафе,"город Москва, поселение Внуковское, улица Лётчика Ульянина, дом 5",45,no coordinates,no street
14824,212715,papa grill,нет,кафе,"город Москва, поселение Воскресенское, Чечёрский проезд, дом 51",2,no coordinates,no street
14825,213333,pho,нет,кафе,"город Москва, поселение Воскресенское, Чечёрский проезд, дом 51",4,no coordinates,no street
14826,214322,froyolla,нет,кафетерий,"город Москва, поселение Воскресенское, Чечёрский проезд, дом 51",0,no coordinates,no street
14827,213519,take and wake,нет,кафе,"город Москва, поселение Воскресенское, Чечёрский проезд, дом 51",0,no coordinates,no street
14828,205480,пицца,нет,кафе,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, дом 2",14,no coordinates,no street
14829,213851,ресторан «атмосфера»,нет,ресторан,"город Москва, улица Василисы Кожиной, дом 1, корпус 1",49,"37.506298,55.737917",улица Василисы Кожиной
14830,213864,столовая,нет,столовая,"город Москва, улица Василисы Кожиной, дом 1, корпус 1",49,"37.506298,55.737917",улица Василисы Кожиной
14831,211361,шаурма,нет,закусочная,"город Москва, 1-я Рейсовая улица, дом 12, корпус 1",0,"37.298751,55.612446",1-я Рейсовая улица
14832,222833,sytiy los,нет,ресторан,"город Москва, Ярцевская улица, дом 19",200,"37.411005,55.738591",Ярцевская улица
