,id,object_name,chain,object_type,address,number,coordinates,street
14882,214873,eat market,нет,кафе,"город Москва, Кутузовский проспект, дом 57",0,"37.476169,55.727927",Кутузовский проспект
14883,214892,бегемот,нет,кафе,"город Москва, Кутузовский проспект, дом 57",30,"37.476169,55.727927",Кутузовский проспект
14884,211738,luna караоке-ресторан,нет,ресторан,"город Москва, Митинская улица, дом 16",60,"37.373347,55.842438",Митинская улица
14885,207494,берри брэд,нет,кафе,"город Москва, Митинская улица, дом 16",110,"37.373347,55.842438",Митинская улица
14886,214175,food mama,нет,ресторан,"город Москва, Ходынский бульвар, дом 4",48,"37.53128,55.790231",Ходынский бульвар
14887,215154,barbeque bbq,нет,ресторан,"город Москва, Ходынский бульвар, дом 4",30,"37.53128,55.790231",Ходынский бульвар
14888,215246,cernovar,нет,бар,"город Москва, Ходынский бульвар, дом 4",16,"37.53128,55.790231",Ходынский бульвар
14889,215415,вкус и цвет,нет,ресторан,"город Москва, Ходынский бульвар, дом 4",34,"37.53128,55.790231",Ходынский бульвар
14890,215416,ереван,нет,ресторан,"город Москва, Ходынский бульвар, дом 4",54,"37.53128,55.790231",Ходынский бульвар
14891,215417,monster hills,нет,ресторан,"город Москва, Ходынский бульвар, дом 4",45,"37.53128,55.790231",Ходынский бульвар
14892,215418,much more,нет,ресторан,"город Москва, Ходынский бульвар, дом 4",21,"37.53128,55.790231",Ходынский бульвар
14893,215419,навоке,нет,ресторан,"город Москва, Ходынский бульвар, дом 4",32,"37.53128,55.790231",Ходынский бульвар
14894,215420,mr falafel,нет,кафе,"город Москва, Ходынский бульвар, дом 4",21,"37.53128,55.790231",Ходынский бульвар
14895,215421,чао пицца,нет,кафе,"город Москва, Ходынский бульвар, дом 4",23,"37.53128,55.790231",Ходынский бульвар
14896,215425,pho bo,нет,кафе,"город Москва, Ходынский бульвар, дом 4",19,"37.53128,55.790231",Ходынский бульвар
14897,215427,plovberry,нет,кафе,"город Москва, Ходынский бульвар, дом 4",21,"37.53128,55.790231",Ходынский бульвар
14898,215432,rombouts,нет,кафетерий,"город Москва, Ходынский бульвар, дом 4",21,"37.53128,55.790231",Ходынский бульвар
14899,215434,royce,нет,кафетерий,"город Москва, Ходынский бульвар, дом 4",15,"37.53128,55.790231",Ходынский бульвар
14900,215437,rustik,нет,кафе,"город Москва, Ходынский бульвар, дом 4",21,"37.53128,55.790231",Ходынский бульвар
14901,215439,шикари,нет,ресторан,"город Москва, Ходынский бульвар, дом 4",64,"37.53128,55.790231",Ходынский бульвар
14902,215442,soul seoul,нет,кафе,"город Москва, Ходынский бульвар, дом 4",12,"37.53128,55.790231",Ходынский бульвар
14903,215288,dim sum&co,нет,кафе,"город Москва, Ходынский бульвар, дом 4",0,"37.53128,55.790231",Ходынский бульвар
14904,215292,duck it,нет,кафе,"город Москва, Ходынский бульвар, дом 4",0,"37.53128,55.790231",Ходынский бульвар
14905,215305,"forte bello, zafferano, edoko",нет,ресторан,"город Москва, Ходынский бульвар, дом 4",90,"37.53128,55.790231",Ходынский бульвар
14906,215307,franklins,нет,кафе,"город Москва, Ходынский бульвар, дом 4",0,"37.53128,55.790231",Ходынский бульвар
14907,215313,gagawa,нет,кафе,"город Москва, Ходынский бульвар, дом 4",0,"37.53128,55.790231",Ходынский бульвар
14908,215334,gelateria plombir,нет,кафе,"город Москва, Ходынский бульвар, дом 4",0,"37.53128,55.790231",Ходынский бульвар
14909,215523,legio syshi,нет,ресторан,"город Москва, Ходынский бульвар, дом 4",48,"37.53128,55.790231",Ходынский бульвар
14910,215253,ciao pizza,нет,кафе,"город Москва, Ходынский бульвар, дом 4",0,"37.53128,55.790231",Ходынский бульвар
14911,215255,cinnabon,нет,кафе,"город Москва, Ходынский бульвар, дом 4",0,"37.53128,55.790231",Ходынский бульвар
14912,222904,local bar by timur lansky,нет,ресторан,"город Москва, Ходынский бульвар, дом 4",22,"37.53128,55.790231",Ходынский бульвар
