,Unnamed: 0,id,object_name,chain,object_type,address,number,coordinates,street,address_list,region
151,151,155973,кафе «андерсон»,да,кафе,"город Москва, Варшавское шоссе, дом 2",150,"37.619683,55.699943",Варшавское шоссе,,Донской район
152,152,23618,кафе «subway»,да,кафе,"город Москва, Варшавское шоссе, дом 7, корпус 1",36,"37.622405,55.700877",Варшавское шоссе,,Донской район
153,153,155852,кафе «ламаджо»,нет,кафе,"город Москва, Варшавское шоссе, дом 29",30,"37.622432,55.693226",Варшавское шоссе,,Донской район
154,154,152556,шаурма в пите,нет,предприятие быстрого обслуживания,"город Москва, Варшавское шоссе, дом 72, корпус 2",0,"37.618758,55.656869",Варшавское шоссе,,Нагорный район
155,155,120658,выпечка,нет,кафетерий,"город Москва, Варшавское шоссе, дом 100",2,"37.618812,55.646228",Варшавское шоссе,,Нагорный район
156,156,26279,ресторан «макдоналдс»,да,кафе,"город Москва, Варшавское шоссе, дом 143А",70,"37.599148,55.583953",Варшавское шоссе,,район Чертаново Южное
165,165,141687,пироговая рогова,нет,кафе,"город Москва, проспект Вернадского, дом 9/10",42,"37.532511,55.690755",проспект Вернадского,,Гагаринский район
166,166,148853,кафе контдитерская кузина,нет,кафе,"город Москва, проспект Вернадского, дом 11/19",5,"37.528882,55.688741",проспект Вернадского,,Ломоносовский район
167,167,149149,суши wok,да,кафе,"город Москва, проспект Вернадского, дом 11/19",8,"37.528882,55.688741",проспект Вернадского,,Ломоносовский район
168,168,128511,аморе,нет,кафе,"город Москва, проспект Вернадского, дом 11/19",10,"37.528882,55.688741",проспект Вернадского,,Ломоносовский район
169,169,24875,шоколад,да,кафе,"город Москва, проспект Вернадского, дом 11/19",50,"37.528882,55.688741",проспект Вернадского,,Ломоносовский район
170,170,143755,тирольские пироги,да,магазин (отдел кулинарии),"город Москва, проспект Вернадского, дом 13",10,"37.527669,55.687655",проспект Вернадского,,Ломоносовский район
172,172,23763,столовая «оп мгу кп мгу столовая 12»,нет,столовая,"город Москва, проспект Вернадского, дом 37",240,"37.511751,55.678397",проспект Вернадского,,район Проспект Вернадского
173,173,19716,буфет,нет,буфет,"город Москва, проспект Вернадского, дом 86, строение 1",40,"37.474534,55.66049",проспект Вернадского,,район Тропарёво-Никулино
174,174,69990,панорама 93,нет,ресторан,"город Москва, проспект Вернадского, дом 93",60,"37.495132,55.667127",проспект Вернадского,,район Тропарёво-Никулино
175,175,20147,кафе «пекарня «мюнгер»»,нет,кафе,"город Москва, проспект Вернадского, дом 97, корпус 1",30,"37.491377,55.667152",проспект Вернадского,,район Тропарёво-Никулино
176,176,19989,гудбар,нет,кафе,"город Москва, проспект Вернадского, дом 97, корпус 1",40,"37.491377,55.667152",проспект Вернадского,,район Тропарёво-Никулино
177,177,19761,бар «фитнес-бар»,нет,бар,"город Москва, проспект Вернадского, дом 103, корпус 1",24,"37.492662,55.663365",проспект Вернадского,,район Тропарёво-Никулино
178,178,19700,кафе «театр на юго-западе»,нет,кафе,"город Москва, проспект Вернадского, дом 125",20,"37.482026,55.655478",проспект Вернадского,,район Тропарёво-Никулино
295,295,22943,шёлковый путь,нет,ресторан,"город Москва, Кутузовский проспект, дом 71",90,"37.452103,55.723719",Кутузовский проспект,,район Фили-Давыдково
525,525,69895,кристиан,нет,ресторан,"город Москва, Кутузовский проспект, дом 2/1, корпус 1А",96,"37.564904,55.750712",Кутузовский проспект,,район Дорогомилово
526,526,20418,диорама бар,нет,бар,"город Москва, Кутузовский проспект, дом 2/1, корпус 1А",3,"37.564904,55.750712",Кутузовский проспект,,район Дорогомилово
527,527,27025,клубный ресторан,нет,ресторан,"город Москва, Кутузовский проспект, дом 2/1, корпус 1А",12,"37.564904,55.750712",Кутузовский проспект,,район Дорогомилово
528,528,26346,pinocchio,нет,ресторан,"город Москва, Кутузовский проспект, дом 4/2",100,"37.562272,55.750727",Кутузовский проспект,,район Дорогомилово
529,529,143564,"кафе-бутик posh up, babe",нет,кафе,"город Москва, Кутузовский проспект, дом 8",12,"37.560538,55.749172",Кутузовский проспект,,район Дорогомилово
530,530,69884,кофемания,да,кафе,"город Москва, Кутузовский проспект, дом 17",60,"37.556864,55.746922",Кутузовский проспект,,район Дорогомилово
531,531,23984,пион,нет,кафе,"город Москва, Кутузовский проспект, дом 21",40,"37.549866,55.744977",Кутузовский проспект,,район Дорогомилово
532,532,21780,кофе хаус. экспрессо и капучино бар,да,кафе,"город Москва, Кутузовский проспект, дом 30",50,"37.535826,55.741475",Кутузовский проспект,,район Дорогомилово
533,533,21038,чистякова м.м.,нет,буфет,"город Москва, Кутузовский проспект, дом 30",15,"37.535826,55.741475",Кутузовский проспект,,район Дорогомилово
534,534,26347,кактус,да,ресторан,"город Москва, Кутузовский проспект, дом 41",32,"37.531029,55.738688",Кутузовский проспект,,район Дорогомилово
541,541,135634,фортутти,нет,кафе,"город Москва, Ленинградский проспект, дом 2",23,"37.582709,55.778644",Ленинградский проспект,,район Беговой
542,542,25749,папа джонс,да,кафе,"город Москва, Ленинградский проспект, дом 10",56,"37.579933,55.779707",Ленинградский проспект,,район Беговой
543,543,27898,столовая мосгоргеотрест,нет,столовая,"город Москва, Ленинградский проспект, дом 11",80,"37.573923,55.780416",Ленинградский проспект,,район Беговой
544,544,25526,шоколадница,да,кафе,"город Москва, Ленинградский проспект, дом 12",65,"37.578855,55.780157",Ленинградский проспект,,район Беговой
545,545,24359,ваби-саби,да,кафе,"город Москва, Ленинградский проспект, дом 12",48,"37.578855,55.780157",Ленинградский проспект,,район Беговой
546,546,154663,хлеб&co,да,кафе,"город Москва, Ленинградский проспект, дом 24",16,"37.573699,55.782547",Ленинградский проспект,,район Беговой
547,547,25469,москафе,нет,ресторан,"город Москва, Ленинградский проспект, дом 24",70,"37.573699,55.782547",Ленинградский проспект,,район Беговой
548,548,25720,кафе хинкальная,нет,кафе,"город Москва, Ленинградский проспект, дом 33, корпус 3",28,"37.56079,55.787001",Ленинградский проспект,,район Беговой
549,549,155931,al33 пиццерия бар ботега,нет,кафе,"город Москва, Ленинградский проспект, дом 33, корпус 4",45,"37.559829,55.78732",Ленинградский проспект,,район Беговой
550,550,140611,буфет-бар бутербург,нет,буфет,"город Москва, Ленинградский проспект, дом 35",20,"37.553271,55.790352",Ленинградский проспект,,район Беговой
551,551,21623,sea-тория,нет,ресторан,"город Москва, Ленинградский проспект, дом 48",150,"37.543479,55.796152",Ленинградский проспект,,район Аэропорт
552,552,71678,тратория italian «паста&пицца»,нет,ресторан,"город Москва, Ленинградский проспект, дом 48",40,"37.543479,55.796152",Ленинградский проспект,,район Аэропорт
553,553,26124,золотая бухара,нет,ресторан,"город Москва, Ленинградский проспект, дом 48",150,"37.543479,55.796152",Ленинградский проспект,,район Аэропорт
554,554,25606,кофе-бин,да,кафе,"город Москва, Ленинградский проспект, дом 56",41,"37.537955,55.79851",Ленинградский проспект,,район Аэропорт
555,555,143379,crema espresso bar,нет,кафе,"город Москва, Ленинградский проспект, дом 60, корпус 1",2,"37.535341,55.799684",Ленинградский проспект,,район Аэропорт
556,556,125031,штолле,да,кафе,"город Москва, Ленинградский проспект, дом 62",37,"37.533382,55.801035",Ленинградский проспект,,район Аэропорт
557,557,81474,кофе хаус,да,кафе,"город Москва, Ленинградский проспект, дом 62",48,"37.533382,55.801035",Ленинградский проспект,,район Аэропорт
558,558,99299,французская выпечка,да,кафе,"город Москва, Ленинградский проспект, дом 62",26,"37.533382,55.801035",Ленинградский проспект,,район Аэропорт
559,559,81473,черчилль паб,нет,ресторан,"город Москва, Ленинградский проспект, дом 66",45,"37.52598,55.802725",Ленинградский проспект,,район Аэропорт
560,560,143289,cure bar,нет,бар,"город Москва, Ленинградский проспект, дом 66",70,"37.52598,55.802725",Ленинградский проспект,,район Аэропорт
561,561,141395,французская выпечка,да,кафе,"город Москва, Ленинградский проспект, дом 74, корпус 1",4,"37.516952,55.805133",Ленинградский проспект,,район Аэропорт
562,562,100556,кофе хаус,да,кафе,"город Москва, Ленинградский проспект, дом 74, корпус 1",98,"37.516952,55.805133",Ленинградский проспект,,район Аэропорт
563,563,22693,шоколадница,да,кафе,"город Москва, Ленинградский проспект, дом 74, корпус 1",98,"37.516952,55.805133",Ленинградский проспект,,район Аэропорт
564,564,149256,subway,да,ресторан,"город Москва, Ленинградский проспект, дом 74, корпус 6",15,"37.51688,55.806413",Ленинградский проспект,,район Аэропорт
565,565,140186,вок стайл,нет,ресторан,"город Москва, Ленинградский проспект, дом 77, корпус 2",80,"37.508176,55.805214",Ленинградский проспект,,район Сокол
566,566,26122,максима пицца,нет,ресторан,"город Москва, Ленинградский проспект, дом 78, корпус 1",160,"37.513296,55.806059",Ленинградский проспект,,район Аэропорт
567,567,73830,французская выпечка,да,кафе,"город Москва, Ленинградский проспект, дом 78, корпус 1",6,"37.513296,55.806059",Ленинградский проспект,,район Аэропорт
582,582,80848,шаурма,нет,предприятие быстрого обслуживания,"город Москва, Ленинский проспект, дом 2А",0,"37.610988,55.728778",Ленинский проспект,,район Якиманка
583,583,139687,порто,нет,ресторан,"город Москва, Ленинский проспект, дом 11, строение 1",71,"37.603945,55.723207",Ленинский проспект,,район Якиманка
584,584,22636,де марко,да,кафе,"город Москва, Ленинский проспект, дом 13",120,"37.602085,55.722036",Ленинский проспект,,район Якиманка
585,585,26254,ресторан «пивнушка»,нет,ресторан,"город Москва, Ленинский проспект, дом 28",80,"37.588566,55.713451",Ленинский проспект,,Донской район
586,586,154752,шаурма,нет,закусочная,"город Москва, Ленинский проспект, дом 34/1",4,"37.57775,55.707365",Ленинский проспект,,Гагаринский район
587,587,70724,кафетерий «итальянская кондитерская»,нет,кафетерий,"город Москва, Ленинский проспект, дом 37",12,"37.585691,55.709956",Ленинский проспект,,Донской район
588,588,76398,ресторан «илья муромец»,да,ресторан,"город Москва, Ленинский проспект, дом 37",96,"37.585691,55.709956",Ленинский проспект,,Донской район
589,589,27076,ресторан «буйабез»,нет,ресторан,"город Москва, Ленинский проспект, дом 37",60,"37.585691,55.709956",Ленинский проспект,,Донской район
590,590,27259,ресторан «корчма тарас бульба»,да,ресторан,"город Москва, Ленинский проспект, дом 37",70,"37.585691,55.709956",Ленинский проспект,,Донской район
591,591,134332,кофейня «шоколадница»,да,кафе,"город Москва, Ленинский проспект, дом 37А",43,"37.58667,55.708607",Ленинский проспект,,Донской район
592,592,21550,школа № 1266,нет,столовая,"город Москва, Ленинский проспект, дом 43",40,"37.576277,55.704788",Ленинский проспект,,Гагаринский район
593,593,25780,пицца аморэ,нет,ресторан,"город Москва, Ленинский проспект, дом 43",46,"37.576277,55.704788",Ленинский проспект,,Гагаринский район
594,594,27083,флорентина сити,нет,ресторан,"город Москва, Ленинский проспект, дом 57",80,"37.561544,55.696575",Ленинский проспект,,Гагаринский район
595,595,26680,стейк хаус гудман,да,ресторан,"город Москва, Ленинский проспект, дом 57",80,"37.561544,55.696575",Ленинский проспект,,Гагаринский район
596,596,117453,brawlers pab,нет,ресторан,"город Москва, Ленинский проспект, дом 61/1",80,"37.558508,55.694855",Ленинский проспект,,Гагаринский район
597,597,137523,true burgers,нет,предприятие быстрого обслуживания,"город Москва, Ленинский проспект, дом 68/10",4,"37.545833,55.689136",Ленинский проспект,,Гагаринский район
598,598,26678,шоколадница,да,кафе,"город Москва, Ленинский проспект, дом 68/10",68,"37.545833,55.689136",Ленинский проспект,,Гагаринский район
599,599,26592,иль патио,да,ресторан,"город Москва, Ленинский проспект, дом 68/10",88,"37.545833,55.689136",Ленинский проспект,,Гагаринский район
600,600,26290,иль-патио,да,кафе,"город Москва, Ленинский проспект, дом 68/10",88,"37.545833,55.689136",Ленинский проспект,,Гагаринский район
601,601,24856,якитория,да,ресторан,"город Москва, Ленинский проспект, дом 68/10",96,"37.545833,55.689136",Ленинский проспект,,Гагаринский район
602,602,156524,азбука вкуса,нет,кафе,"город Москва, Ленинский проспект, дом 82/2",10,"37.533382,55.680732",Ленинский проспект,,Ломоносовский район
603,603,24612,южное,нет,ресторан,"город Москва, Ленинский проспект, дом 87",80,"37.533742,55.679346",Ленинский проспект,,Ломоносовский район
604,604,156525,азбука вкуса,нет,кафе,"город Москва, Ленинский проспект, дом 91",10,"37.529789,55.676646",Ленинский проспект,,Ломоносовский район
605,605,58505,черетто,нет,кафе,"город Москва, Ленинский проспект, дом 95",75,"37.525863,55.673976",Ленинский проспект,,Ломоносовский район
606,606,23925,рика,нет,кафе,"город Москва, Ленинский проспект, дом 99",36,"37.518758,55.668635",Ленинский проспект,,Обручевский район
607,607,83265,мюнгер,да,кафе,"город Москва, Ленинский проспект, дом 99",22,"37.518758,55.668635",Ленинский проспект,,Обручевский район
608,608,93507,кафе «башлам»,нет,кафе,"город Москва, Ленинский проспект, дом 148",50,"37.492949,55.655163",Ленинский проспект,,район Тропарёво-Никулино
681,681,149899,сухарева башня,нет,кафе,"город Москва, проспект Мира, дом 5, корпус 1",10,"37.631918,55.774219",проспект Мира,,Мещанский район
682,682,69300,ваби-саби,да,кафе,"город Москва, проспект Мира, дом 29",64,"37.63252,55.779803",проспект Мира,,Мещанский район
683,683,71378,шоколадница,да,кафе,"город Москва, проспект Мира, дом 29",40,"37.63252,55.779803",проспект Мира,,Мещанский район
684,684,146123,джаганнат,да,кафе,"город Москва, проспект Мира, дом 31",25,"37.632592,55.780122",проспект Мира,,Мещанский район
685,685,137644,krispy creme,да,кафе,"город Москва, проспект Мира, дом 40",36,"37.633949,55.780203",проспект Мира,,Мещанский район
686,686,128970,французская пекарня,нет,кафе,"город Москва, проспект Мира, дом 47, строение 1",16,"37.633841,55.782982",проспект Мира,,Мещанский район
687,687,150870,prime прайм стар,да,кафе,"город Москва, проспект Мира, дом 48, строение 6",32,"37.634344,55.781813",проспект Мира,,Мещанский район
688,688,111162,брусника,да,кафе,"город Москва, проспект Мира, дом 49",40,"37.633859,55.783494",проспект Мира,,Мещанский район
689,689,156605,азбука вкуса,да,кафе,"город Москва, проспект Мира, дом 49",20,"37.633859,55.783494",проспект Мира,,Мещанский район
690,690,26026,an nam,нет,ресторан,"город Москва, проспект Мира, дом 54",60,"37.635098,55.783397",проспект Мира,,Мещанский район
691,691,22476,чайхона,нет,кафе,"город Москва, проспект Мира, дом 56, строение 2",40,"37.63562,55.784",проспект Мира,,Мещанский район
692,692,26028,ти-бон,нет,ресторан,"город Москва, проспект Мира, дом 58",85,"37.63606,55.785392",проспект Мира,,Мещанский район
693,693,138708,кальянная хука хауз,нет,бар,"город Москва, проспект Мира, дом 70",20,"37.635323,55.78812",проспект Мира,,Мещанский район
694,694,111152,wine point,нет,кафе,"город Москва, проспект Мира, дом 77, корпус 1",35,"37.634299,55.789937",проспект Мира,,Мещанский район
695,695,69478,крылышко-ножка,нет,кафе,"город Москва, проспект Мира, дом 77, корпус 2",24,"37.633742,55.789932",проспект Мира,,Мещанский район
696,696,58901,бар «джонни грин паб»,нет,бар,"город Москва, проспект Мира, дом 91, корпус 1",50,"37.635278,55.805356",проспект Мира,,Останкинский район
697,697,20284,бар «мир бильярда»,нет,бар,"город Москва, проспект Мира, дом 91, корпус 3",70,"37.635593,55.806894",проспект Мира,,Останкинский район
698,698,20795,ресторан «макдоналдс»,да,предприятие быстрого обслуживания,"город Москва, проспект Мира, дом 97",143,"37.636392,55.809231",проспект Мира,,Останкинский район
699,699,21800,шоколадница,да,кафе,"город Москва, проспект Мира, дом 97",100,"37.636392,55.809231",проспект Мира,,Останкинский район
700,700,142956,ресторан «якитория»,да,ресторан,"город Москва, проспект Мира, дом 97",25,"37.636392,55.809231",проспект Мира,,Останкинский район
701,701,22892,шоколадница,да,кафе,"город Москва, проспект Мира, дом 112",150,"37.637847,55.805943",проспект Мира,,Алексеевский район
702,702,153638,босс-кулинария,нет,магазин (отдел кулинарии),"город Москва, проспект Мира, дом 114Б",0,"37.63835,55.808154",проспект Мира,,Алексеевский район
703,703,147579,крафтмания,нет,ресторан,"город Москва, проспект Мира, дом 116",130,"37.638,55.808948",проспект Мира,,Алексеевский район
704,704,80359,кафе «штолле»,да,кафе,"город Москва, проспект Мира, дом 118",22,"37.638296,55.810663",проспект Мира,,Алексеевский район
705,705,128154,ресторан «pesto»,нет,ресторан,"город Москва, проспект Мира, дом 118",98,"37.638296,55.810663",проспект Мира,,Алексеевский район
706,706,81505,ресторан «джон джоли»,да,ресторан,"город Москва, проспект Мира, дом 118",150,"37.638296,55.810663",проспект Мира,,Алексеевский район
707,707,26149,ресторан «тануки»,да,ресторан,"город Москва, проспект Мира, дом 120",125,"37.639339,55.811771",проспект Мира,,Алексеевский район
708,708,20704,кафе «бирхаус»,нет,кафе,"город Москва, проспект Мира, дом 124, корпус 4",74,"37.639563,55.815858",проспект Мира,,Алексеевский район
709,709,143561,пекарня «папан»,нет,магазин (отдел кулинарии),"город Москва, проспект Мира, дом 180",10,"37.646157,55.823803",проспект Мира,,Алексеевский район
710,710,22893,кафе «золотая лестница»,нет,кафе,"город Москва, проспект Мира, дом 186, корпус 1",41,"37.650864,55.829011",проспект Мира,,Алексеевский район
938,938,154596,стардогs,да,предприятие быстрого обслуживания,"город Москва, Профсоюзная улица, дом 2/22",0,"37.572378,55.687477",Профсоюзная улица,,Академический район
939,939,29061,столовая шк. 4,нет,столовая,"город Москва, Профсоюзная улица, дом 9",200,"37.568866,55.682422",Профсоюзная улица,,Академический район
940,940,153091,французская пекарня,нет,кафетерий,"город Москва, Профсоюзная улица, дом 13/12",12,"37.566467,55.680554",Профсоюзная улица,,Академический район
941,941,23842,прованс,нет,кафе,"город Москва, Профсоюзная улица, дом 15",30,"37.565335,55.679509",Профсоюзная улица,,Академический район
942,942,23853,шоколадница,да,кафе,"город Москва, Профсоюзная улица, дом 16/10",40,"37.568938,55.68427",Профсоюзная улица,,Академический район
943,943,27263,корчма тарас бульба,да,ресторан,"город Москва, Профсоюзная улица, дом 16/10",60,"37.568938,55.68427",Профсоюзная улица,,Академический район
944,944,23844,шоколадница,да,кафе,"город Москва, Профсоюзная улица, дом 19",48,"37.564248,55.678458",Профсоюзная улица,,Академический район
945,945,21487,буфет шк. 584,нет,буфет,"город Москва, Профсоюзная улица, дом 24, корпус 1",120,"37.564132,55.679813",Профсоюзная улица,,Академический район
946,946,27269,лимончино,нет,ресторан,"город Москва, Профсоюзная улица, дом 33, строение 1",70,"37.557233,55.67194",Профсоюзная улица,,no_region
947,947,21586,школа 190,нет,буфет,"город Москва, Профсоюзная улица, дом 40, корпус 1",30,"37.558032,55.675306",Профсоюзная улица,,район Черёмушки
948,948,28529,гуп 1-ый автобусный парк «мосгортранс» автобусная,нет,столовая,"город Москва, Профсоюзная улица, дом 58/32, корпус 1",16,"37.552328,55.669356",Профсоюзная улица,,Обручевский район
949,949,143692,кафе еасс,нет,кафе,"город Москва, Профсоюзная улица, дом 98, корпус 10",20,"37.520141,55.649886",Профсоюзная улица,,район Коньково
950,950,154938,суши вок,да,кафе,"город Москва, Профсоюзная улица, дом 113, корпус 1",10,"37.520285,55.63131",Профсоюзная улица,,район Коньково
951,951,29610,столовая гбоу школа № 1507 корпус школьного образования № 1507,нет,столовая,"город Москва, Профсоюзная улица, дом 132, корпус 7",100,"37.507789,55.631752",Профсоюзная улица,,район Тёплый Стан
952,952,28530,столовая при доме-пансионате ветеранов науки,нет,столовая,"город Москва, Профсоюзная улица, дом 132, корпус 8",75,"37.505319,55.63128",Профсоюзная улица,,район Тёплый Стан
1424,1424,25241,кафе «топаз-джони»,нет,кафе,"город Москва, проспект Мира, дом 108",16,"37.63765,55.803535",проспект Мира,,Алексеевский район
1433,1433,148879,котлета,нет,ресторан,"город Москва, Ленинградский проспект, дом 77, корпус 4",47,"37.506091,55.805776",Ленинградский проспект,,район Сокол
1453,1453,28532,столовая при пансионате «коньково» для ветеранов войны,нет,столовая,"город Москва, Профсоюзная улица, дом 140, корпус 6",95,"37.504025,55.630111",Профсоюзная улица,,район Тёплый Стан
1455,1455,26310,talk of the town,нет,ресторан,"город Москва, Ленинский проспект, дом 113/1",90,"37.498168,55.655808",Ленинский проспект,,Обручевский район
1460,1460,23922,жасмин,нет,кафе,"город Москва, Ленинский проспект, дом 121/1, корпус 3",45,"37.484397,55.649251",Ленинский проспект,,Обручевский район
1473,1473,26019,иль патио планета суши,да,ресторан,"город Москва, проспект Мира, дом 33, корпус 1",65,"37.632098,55.780319",проспект Мира,,Мещанский район
1474,1474,105190,столовая в тоц олимпик плаза,нет,столовая,"город Москва, проспект Мира, дом 33, корпус 1",50,"37.632098,55.780319",проспект Мира,,Мещанский район
1476,1476,67810,сабвей,да,предприятие быстрого обслуживания,"город Москва, проспект Мира, дом 146",15,"37.642689,55.820834",проспект Мира,,Алексеевский район
1477,1477,129980,сушишоп,да,кафе,"город Москва, проспект Мира, дом 146",18,"37.642689,55.820834",проспект Мира,,Алексеевский район
1552,1552,19718,буфет,нет,буфет,"город Москва, проспект Вернадского, дом 82, строение 2",40,"37.475603,55.66734",проспект Вернадского,,район Тропарёво-Никулино
1562,1562,157568,кафе «tornano»,нет,кафе,"город Москва, проспект Вернадского, дом 92",18,"37.473168,55.655285",проспект Вернадского,,район Тропарёво-Никулино
1567,1567,27640,столовая школы 56,нет,столовая,"город Москва, Кутузовский проспект, дом 22",200,"37.549264,55.745924",Кутузовский проспект,,район Дорогомилово
1568,1568,120295,дижестив,нет,кафе,"город Москва, Кутузовский проспект, дом 33",75,"37.540784,55.741465",Кутузовский проспект,,район Дорогомилово
1569,1569,29632,столовая школы 1465,нет,столовая,"город Москва, Кутузовский проспект, дом 24",25,"37.545267,55.744526",Кутузовский проспект,,район Дорогомилово
1596,1596,157309,азбука вкуса,да,кафе,"город Москва, Ленинградский проспект, дом 69, строение 1",10,"37.517716,55.802811",Ленинградский проспект,,район Сокол
1597,1597,129609,булочная 5,нет,кафе,"город Москва, Ленинградский проспект, дом 69, строение 1",15,"37.517716,55.802811",Ленинградский проспект,,район Сокол
1598,1598,25838,чебуречная ссср,да,кафе,"город Москва, Ленинградский проспект, дом 69, строение 1",45,"37.517716,55.802811",Ленинградский проспект,,район Сокол
1617,1617,70502,кафе «мануфактура»,нет,кафе,"город Москва, Варшавское шоссе, дом 9",70,"37.621669,55.700481",Варшавское шоссе,,Донской район
1618,1618,82401,кофейня «старбакс»,да,кафе,"город Москва, Варшавское шоссе, дом 9",42,"37.621669,55.700481",Варшавское шоссе,,Донской район
1622,1622,23815,огни баку,нет,ресторан,"город Москва, Варшавское шоссе, дом 152, корпус 2",380,"37.598339,55.591259",Варшавское шоссе,,район Чертаново Южное
1693,1693,129951,маэстро ресто,нет,кафе,"город Москва, Профсоюзная улица, дом 58, корпус 4",26,"37.550504,55.669407",Профсоюзная улица,,Обручевский район
1696,1696,24873,пиццерия милано,нет,кафе,"город Москва, Профсоюзная улица, дом 96",43,"37.527822,55.647468",Профсоюзная улица,,район Коньково
1698,1698,128004,килфиш бар,нет,бар,"город Москва, Профсоюзная улица, дом 104",80,"37.523456,55.64192",Профсоюзная улица,,район Коньково
1699,1699,24587,кружка,да,кафе,"город Москва, Профсоюзная улица, дом 104",220,"37.523456,55.64192",Профсоюзная улица,,район Коньково
1700,1700,25554,дорф,нет,кафе,"город Москва, Профсоюзная улица, дом 104",118,"37.523456,55.64192",Профсоюзная улица,,район Коньково
1701,1701,80904,ресторан drunken duck pub,нет,ресторан,"город Москва, Профсоюзная улица, дом 104",150,"37.523456,55.64192",Профсоюзная улица,,район Коньково
1702,1702,80912,руккола,да,кафе,"город Москва, Профсоюзная улица, дом 104",92,"37.523456,55.64192",Профсоюзная улица,,район Коньково
1703,1703,68432,якитория,да,кафе,"город Москва, Профсоюзная улица, дом 104",198,"37.523456,55.64192",Профсоюзная улица,,район Коньково
1708,1708,69967,ротекс,нет,ресторан,"город Москва, Ленинский проспект, дом 111, корпус 1",90,"37.509343,55.661328",Ленинский проспект,,Обручевский район
1709,1709,154848,«ип» шацкая е.м,нет,предприятие быстрого обслуживания,"город Москва, Профсоюзная улица, дом 25, корпус 1",0,"37.562667,55.674006",Профсоюзная улица,,no_region
1731,1731,20159,кафе «delonix»,нет,кафе,"город Москва, проспект Вернадского, дом 94, корпус 1",38,"37.475513,55.652659",проспект Вернадского,,район Тропарёво-Никулино
1906,1906,22184,пицца хат,да,кафе,"город Москва, Ленинградский проспект, дом 80, корпус 19",15,"37.5114,55.80737",Ленинградский проспект,,район Сокол
1907,1907,27699,сабвей,да,кафе,"город Москва, Ленинградский проспект, дом 80, корпус 17",20,"37.511508,55.807951",Ленинградский проспект,,район Сокол
1908,1908,153552,кулинарная лавка братьев караваевых,да,кафе,"город Москва, Ленинградский проспект, дом 80, корпус 17",10,"37.511508,55.807951",Ленинградский проспект,,район Сокол
1917,1917,69323,джон донн,нет,кафе,"город Москва, Ленинский проспект, дом 4, строение 1А",50,"37.608877,55.727491",Ленинский проспект,,район Якиманка
1920,1920,23056,кафе «мир кебаб»,нет,кафе,"город Москва, проспект Мира, дом 95, строение 3",48,"37.635045,55.807658",проспект Мира,,Останкинский район
1937,1937,127505,джимми ли,нет,кафе,"город Москва, проспект Мира, дом 12, строение 1",98,"37.632637,55.774639",проспект Мира,,Мещанский район
1952,1952,151244,хинкальная «кахури»,нет,кафе,"город Москва, Профсоюзная улица, дом 122",45,"37.518102,55.633709",Профсоюзная улица,,район Тёплый Стан
1998,1998,152530,столовая (закрытое),нет,столовая,"город Москва, Ленинский проспект, дом 8, корпус 5",50,"37.603451,55.724429",Ленинский проспект,,район Якиманка
1999,1999,69831,кафе «хинкальная»,нет,кафе,"город Москва, Ленинский проспект, дом 89/2",30,"37.531622,55.677935",Ленинский проспект,,Ломоносовский район
2000,2000,29447,буфет гбоу «школа №117»,нет,столовая,"город Москва, Ленинский проспект, дом 93А",86,"37.528163,55.674184",Ленинский проспект,,Ломоносовский район
2002,2002,26307,жестокий романс,нет,ресторан,"город Москва, Ленинский проспект, дом 105",46,"37.513395,55.665309",Ленинский проспект,,Обручевский район
2003,2003,21553,школа № 192,нет,столовая,"город Москва, Ленинский проспект, дом 34А",60,"37.57484,55.706741",Ленинский проспект,,Гагаринский район
2004,2004,21493,школа № 198,нет,столовая,"город Москва, Ленинский проспект, дом 39А",60,"37.583697,55.706533",Ленинский проспект,,Гагаринский район
2013,2013,29386,буфет гбоу «гуманитарный лицей № 1536»,нет,столовая,"город Москва, Ленинский проспект, дом 83А",74,"37.53932,55.680087",Ленинский проспект,,Ломоносовский район
2109,2109,29067,восточная кухня,нет,кафе,"город Москва, Ленинский проспект, дом 65, корпус 2",24,"37.557188,55.692059",Ленинский проспект,,Гагаринский район
2113,2113,29597,росс,нет,столовая,"город Москва, Ленинский проспект, дом 65, корпус 1",290,"37.55487,55.692232",Ленинский проспект,,Гагаринский район
2114,2114,29360,лайт,нет,кафе,"город Москва, Ленинский проспект, дом 65, корпус 1",28,"37.55487,55.692232",Ленинский проспект,,Гагаринский район
2115,2115,153655,столовая (закрытое),нет,столовая,"город Москва, Ленинский проспект, дом 4, строение 1",40,"37.609461,55.728287",Ленинский проспект,,район Якиманка
2116,2116,82490,столовая,нет,столовая,"город Москва, Ленинский проспект, дом 1/2, корпус 1",80,"37.609901,55.727136",Ленинский проспект,,район Якиманка
2117,2117,80864,шашлык -хаус,нет,кафе,"город Москва, Ленинский проспект, дом 1/2, корпус 1",40,"37.609901,55.727136",Ленинский проспект,,район Якиманка
2121,2121,27889,столовая (закрытое),нет,столовая,"город Москва, Ленинский проспект, дом 9",80,"37.605499,55.72416",Ленинский проспект,,район Якиманка
2123,2123,69860,колхида,нет,кафе,"город Москва, проспект Вернадского, дом 29",97,"37.51662,55.681666",проспект Вернадского,,Ломоносовский район
