,Unnamed: 0,id,object_name,chain,object_type,address,number,coordinates,street,address_list,region
7247,7247,157483,кафе «margarita»,нет,кафе,"город Москва, город Зеленоград, Крюковская площадь, дом 1",30,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' Крюковская площадь', ' дом 1']",no_region
7248,7248,25464,крошка картошка,да,предприятие быстрого обслуживания,"город Москва, город Зеленоград, Крюковская площадь, дом 1",50,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' Крюковская площадь', ' дом 1']",no_region
7249,7249,25461,бургер кинг,да,предприятие быстрого обслуживания,"город Москва, город Зеленоград, Крюковская площадь, дом 1",75,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' Крюковская площадь', ' дом 1']",no_region
7250,7250,25462,кафе «шоколадница»,да,кафе,"город Москва, город Зеленоград, Крюковская площадь, дом 1",89,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' Крюковская площадь', ' дом 1']",no_region
7251,7251,25521,кафе «теремок»,да,предприятие быстрого обслуживания,"город Москва, город Зеленоград, Крюковская площадь, дом 1",60,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' Крюковская площадь', ' дом 1']",no_region
7252,7252,20305,кафе «каро-фильм»,нет,кафе,"город Москва, город Зеленоград, Крюковская площадь, дом 1",10,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' Крюковская площадь', ' дом 1']",no_region
7253,7253,22338,макдоналдс,да,предприятие быстрого обслуживания,"город Москва, город Зеленоград, Крюковская площадь, дом 1",75,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' Крюковская площадь', ' дом 1']",no_region
7256,7256,29410,школа 2045 корп.2031,нет,столовая,"город Москва, город Зеленоград, корпус 2031",160,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 2031']",no_region
7257,7257,60362,garden,нет,ресторан,"город Москва, город Зеленоград, корпус 305",55,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 305']",no_region
7258,7258,22811,ресторан «темпл бар»,да,ресторан,"город Москва, город Зеленоград, корпус 405А",135,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 405А']",no_region
7259,7259,26305,чайхона « в гости»,нет,ресторан,"город Москва, город Зеленоград, корпус 405А",98,no coordinates, город Зеленоград,"['город Москва', ' город Зеленоград', ' корпус 405А']",no_region
8481,8481,129833,теремок,да,предприятие быстрого обслуживания,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",20,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
